currency;date;rate
ARS;2011-12-06;1.0007
ARS;2011-12-07;1.0007
ARS;2011-12-08;1.0002
ARS;2011-12-09;1.0002
ARS;2011-12-10;1.0002
ARS;2011-12-11;1.0002
ARS;2011-12-12;1.0007
ARS;2011-12-13;1.0007
ARS;2011-12-14;1.0007
ARS;2011-12-15;1.0002
ARS;2011-12-16;1.0002
ARS;2011-12-17;1.0002
ARS;2011-12-18;1.0002
ARS;2011-12-19;1.0010
ARS;2011-12-20;1.0010
ARS;2011-12-21;1.0010
ARS;2011-12-22;1.0010
ARS;2011-12-23;1.0003
ARS;2011-12-24;1.0003
ARS;2011-12-25;1.0004
ARS;2011-12-26;1.0008
ARS;2011-12-27;1.0008
ARS;2011-12-28;1.0008
ARS;2011-12-29;1.0002
ARS;2011-12-30;1.0002
ARS;2011-12-31;1.0002
ARS;2012-01-01;1.0002
ARS;2012-01-02;1.0005
ARS;2012-01-03;1.0005
ARS;2012-01-04;1.0005
ARS;2012-01-05;1.0002
ARS;2012-01-06;1.0002
ARS;2012-01-07;1.0004
ARS;2012-01-08;1.0009
ARS;2012-01-09;1.0009
ARS;2012-01-10;1.0009
ARS;2012-01-11;1.0009
ARS;2012-01-12;1.0002
ARS;2012-01-13;1.0002
ARS;2012-01-14;1.0002
ARS;2012-01-15;1.0002
ARS;2012-01-16;1.0007
ARS;2012-01-17;1.0007
ARS;2012-01-18;1.0007
ARS;2012-01-19;1.0002
ARS;2012-01-20;1.0002
ARS;2012-01-21;1.0003
ARS;2012-01-22;1.0003
ARS;2012-01-23;1.0003
ARS;2012-01-24;1.0003
ARS;2012-01-25;1.0003
ARS;2012-01-26;1.0003
ARS;2012-01-27;1.0003
ARS;2012-01-28;1.0003
ARS;2012-01-29;1.0004
ARS;2012-01-30;1.0011
ARS;2012-01-31;1.0011
ARS;2012-02-01;1.0011
ARS;2012-02-02;1.0004
ARS;2012-02-03;1.0003
ARS;2012-02-04;1.0003
ARS;2012-02-05;1.0003
ARS;2012-02-06;1.0011
ARS;2012-02-07;1.0011
ARS;2012-02-08;1.0011
ARS;2012-02-09;1.0011
ARS;2012-02-10;1.0003
ARS;2012-02-11;1.0003
ARS;2012-02-12;1.0017
ARS;2012-02-13;1.0017
ARS;2012-02-14;1.0017
ARS;2012-02-15;1.0017
ARS;2012-02-16;1.0017
ARS;2012-02-17;1.0003
ARS;2012-02-18;1.0003
ARS;2012-02-19;1.0002
ARS;2012-02-20;1.0008
ARS;2012-02-21;1.0008
ARS;2012-02-22;1.0008
ARS;2012-02-23;1.0002
ARS;2012-02-24;1.0002
ARS;2012-02-25;1.0002
ARS;2012-02-26;1.0002
ARS;2012-02-27;1.0009
ARS;2012-02-28;1.0009
ARS;2012-02-29;1.0009
ARS;2012-03-01;1.0002
ARS;2012-03-02;1.0002
ARS;2012-03-03;1.0002
ARS;2012-03-04;1.0002
ARS;2012-03-05;1.0005
ARS;2012-03-06;1.0005
ARS;2012-03-07;1.0005
ARS;2012-03-08;1.0002
ARS;2012-03-09;1.0002
ARS;2012-03-10;1.0002
ARS;2012-03-11;1.0002
ARS;2012-03-12;1.0005
ARS;2012-03-13;1.0005
ARS;2012-03-14;1.0005
ARS;2012-03-15;1.0002
ARS;2012-03-16;1.0001
ARS;2012-03-17;1.0001
ARS;2012-03-18;1.0001
ARS;2012-03-19;1.0005
ARS;2012-03-20;1.0005
ARS;2012-03-21;1.0005
ARS;2012-03-22;1.0001
ARS;2012-03-23;1.0001
ARS;2012-03-24;1.0001
ARS;2012-03-25;1.0001
ARS;2012-03-26;1.0004
ARS;2012-03-27;1.0004
ARS;2012-03-28;1.0004
ARS;2012-03-29;1.0001
ARS;2012-03-30;1.0001
ARS;2012-03-31;1.0001
ARS;2012-04-01;1.0001
ARS;2012-04-02;1.0005
ARS;2012-04-03;1.0005
ARS;2012-04-04;1.0005
ARS;2012-04-05;1.0001
ARS;2012-04-06;1.0001
ARS;2012-04-07;1.0001
ARS;2012-04-08;1.0001
ARS;2012-04-09;1.0004
ARS;2012-04-10;1.0004
ARS;2012-04-11;1.0004
ARS;2012-04-12;1.0001
ARS;2012-04-13;1.0001
ARS;2012-04-14;1.0001
ARS;2012-04-15;1.0001
ARS;2012-04-16;1.0004
ARS;2012-04-17;1.0004
ARS;2012-04-18;1.0004
ARS;2012-04-19;1.0001
ARS;2012-04-20;1.0001
ARS;2012-04-21;1.0001
ARS;2012-04-22;1.0001
ARS;2012-04-23;1.0004
ARS;2012-04-24;1.0004
ARS;2012-04-25;1.0004
ARS;2012-04-26;1.0001
ARS;2012-04-27;1.0001
ARS;2012-04-28;1.0002
ARS;2012-04-29;1.0001
ARS;2012-04-30;0.9994
ARS;2012-05-01;0.9994
ARS;2012-05-02;0.9994
ARS;2012-05-03;0.9995
ARS;2012-05-04;1.0001
ARS;2012-05-05;1.0003
ARS;2012-05-06;1.0002
ARS;2012-05-07;1.0010
ARS;2012-05-08;1.0010
ARS;2012-05-09;1.0010
ARS;2012-05-10;1.0002
ARS;2012-05-11;1.0003
ARS;2012-05-12;1.0002
ARS;2012-05-13;1.0004
ARS;2012-05-14;1.0015
ARS;2012-05-15;1.0015
ARS;2012-05-16;1.0014
ARS;2012-05-17;1.0014
ARS;2012-05-18;1.0003
ARS;2012-05-19;1.0004
ARS;2012-05-20;1.0002
ARS;2012-05-21;1.0005
ARS;2012-05-22;1.0005
ARS;2012-05-23;1.0005
ARS;2012-05-24;1.0002
ARS;2012-05-25;1.0002
ARS;2012-05-26;1.0010
ARS;2012-05-27;1.0010
ARS;2012-05-28;1.0010
ARS;2012-05-29;1.0010
ARS;2012-05-30;1.0010
ARS;2012-05-31;1.0003
ARS;2012-06-01;1.0002
ARS;2012-06-02;1.0001
ARS;2012-06-03;1.0002
ARS;2012-06-04;1.0007
ARS;2012-06-05;1.0007
ARS;2012-06-06;1.0007
ARS;2012-06-07;1.0003
ARS;2012-06-08;1.0002
ARS;2012-06-09;1.0002
ARS;2012-06-10;1.0003
ARS;2012-06-11;1.0007
ARS;2012-06-12;1.0007
ARS;2012-06-13;1.0007
ARS;2012-06-14;1.0003
ARS;2012-06-15;1.0003
ARS;2012-06-16;1.0003
ARS;2012-06-17;1.0003
ARS;2012-06-18;1.0009
ARS;2012-06-19;1.0009
ARS;2012-06-20;1.0009
ARS;2012-06-21;1.0002
ARS;2012-06-22;1.0002
ARS;2012-06-23;1.0002
ARS;2012-06-24;1.0002
ARS;2012-06-25;1.0010
ARS;2012-06-26;1.0010
ARS;2012-06-27;1.0010
ARS;2012-06-28;1.0003
ARS;2012-06-29;1.0002
ARS;2012-06-30;1.0002
ARS;2012-07-01;1.0002
ARS;2012-07-02;1.0005
ARS;2012-07-03;1.0005
ARS;2012-07-04;1.0005
ARS;2012-07-05;1.0001
ARS;2012-07-06;1.0001
ARS;2012-07-07;1.0001
ARS;2012-07-08;1.0005
ARS;2012-07-09;1.0005
ARS;2012-07-10;1.0005
ARS;2012-07-11;1.0005
ARS;2012-07-12;1.0001
ARS;2012-07-13;1.0001
ARS;2012-07-14;1.0000
ARS;2012-07-15;1.0000
ARS;2012-07-16;1.0005
ARS;2012-07-17;1.0005
ARS;2012-07-18;1.0005
ARS;2012-07-19;1.0002
ARS;2012-07-20;1.0001
ARS;2012-07-21;1.0001
ARS;2012-07-22;1.0001
ARS;2012-07-23;1.0003
ARS;2012-07-24;1.0003
ARS;2012-07-25;1.0003
ARS;2012-07-26;1.0001
ARS;2012-07-27;1.0001
ARS;2012-07-28;1.0001
ARS;2012-07-29;1.0001
ARS;2012-07-30;1.0005
ARS;2012-07-31;1.0005
ARS;2012-08-01;1.0005
ARS;2012-08-02;1.0005
ARS;2012-08-03;1.0001
ARS;2012-08-04;1.0002
ARS;2012-08-05;1.0002
ARS;2012-08-06;1.0005
ARS;2012-08-07;1.0005
ARS;2012-08-08;1.0005
ARS;2012-08-09;1.0001
ARS;2012-08-10;1.0001
ARS;2012-08-11;1.0001
ARS;2012-08-12;1.0001
ARS;2012-08-13;1.0004
ARS;2012-08-14;1.0004
ARS;2012-08-15;1.0004
ARS;2012-08-16;1.0002
ARS;2012-08-17;1.0003
ARS;2012-08-18;1.0001
ARS;2012-08-19;1.0002
ARS;2012-08-20;1.0004
ARS;2012-08-21;1.0004
ARS;2012-08-22;1.0004
ARS;2012-08-23;1.0004
ARS;2012-08-24;1.0002
ARS;2012-08-25;1.0003
ARS;2012-08-26;1.0005
ARS;2012-08-27;1.0010
ARS;2012-08-28;1.0010
ARS;2012-08-29;1.0010
ARS;2012-08-30;1.0003
ARS;2012-08-31;1.0003
ARS;2012-09-01;1.0009
ARS;2012-09-02;1.0004
ARS;2012-09-03;1.0012
ARS;2012-09-04;1.0012
ARS;2012-09-05;1.0012
ARS;2012-09-06;1.0004
ARS;2012-09-07;1.0004
ARS;2012-09-08;1.0004
ARS;2012-09-09;1.0007
ARS;2012-09-10;1.0015
ARS;2012-09-11;1.0015
ARS;2012-09-12;1.0015
ARS;2012-09-13;1.0003
ARS;2012-09-14;1.0004
ARS;2012-09-15;1.0007
ARS;2012-09-16;1.0002
ARS;2012-09-17;1.0012
ARS;2012-09-18;1.0012
ARS;2012-09-19;1.0012
ARS;2012-09-20;1.0005
ARS;2012-09-21;1.0005
ARS;2012-09-22;1.0003
ARS;2012-09-23;1.0003
ARS;2012-09-24;1.0011
ARS;2012-09-25;1.0011
ARS;2012-09-26;1.0011
ARS;2012-09-27;1.0004
ARS;2012-09-28;1.0003
ARS;2012-09-29;1.0002
ARS;2012-09-30;1.0003
ARS;2012-10-01;1.0015
ARS;2012-10-02;1.0015
ARS;2012-10-03;1.0015
ARS;2012-10-04;1.0015
ARS;2012-10-05;1.0009
ARS;2012-10-06;1.0003
ARS;2012-10-07;1.0003
ARS;2012-10-08;1.0010
ARS;2012-10-09;1.0010
ARS;2012-10-10;1.0010
ARS;2012-10-11;1.0002
ARS;2012-10-12;1.0001
ARS;2012-10-13;1.0001
ARS;2012-10-14;1.0001
ARS;2012-10-15;1.0020
ARS;2012-10-16;1.0020
ARS;2012-10-17;1.0020
ARS;2012-10-18;1.0004
ARS;2012-10-19;1.0003
ARS;2012-10-20;1.0003
ARS;2012-10-21;1.0004
ARS;2012-10-22;1.0011
ARS;2012-10-23;1.0011
ARS;2012-10-24;1.0011
ARS;2012-10-25;1.0002
ARS;2012-10-26;1.0002
ARS;2012-10-27;1.0002
ARS;2012-10-28;1.0005
ARS;2012-10-29;1.0015
ARS;2012-10-30;1.0015
ARS;2012-10-31;1.0015
ARS;2012-11-01;1.0015
ARS;2012-11-02;1.0004
ARS;2012-11-03;1.0004
ARS;2012-11-04;1.0004
ARS;2012-11-05;1.0004
ARS;2012-11-06;1.0004
ARS;2012-11-07;1.0004
ARS;2012-11-08;1.0004
ARS;2012-11-09;1.0004
ARS;2012-11-10;1.0004
ARS;2012-11-11;1.0004
ARS;2012-11-12;1.0004
ARS;2012-11-13;1.0004
ARS;2012-11-14;1.0004
ARS;2012-11-15;1.0004
ARS;2012-11-16;1.0004
ARS;2012-11-17;1.0004
ARS;2012-11-18;1.0004
ARS;2012-11-19;1.0004
ARS;2012-11-20;1.0004
ARS;2012-11-21;1.0004
ARS;2012-11-22;1.0004
ARS;2012-11-23;1.0004
ARS;2012-11-24;1.0004
ARS;2012-11-25;1.0004
ARS;2012-11-26;1.0004
ARS;2012-11-27;1.0004
ARS;2012-11-28;1.0004
ARS;2012-11-29;1.0004
ARS;2012-11-30;1.0004
ARS;2012-12-01;1.0004
ARS;2012-12-02;1.0004
ARS;2012-12-03;1.0004
ARS;2012-12-04;1.0004
ARS;2012-12-05;1.0004
ARS;2012-12-06;1.0004
ARS;2012-12-07;1.0004
ARS;2012-12-08;1.0004
ARS;2012-12-09;1.0004
ARS;2012-12-10;1.0004
ARS;2012-12-11;1.0004
ARS;2012-12-12;1.0004
ARS;2012-12-13;1.0004
ARS;2012-12-14;1.0004
ARS;2012-12-15;1.0004
ARS;2012-12-16;1.0004
ARS;2012-12-17;1.0004
ARS;2012-12-18;1.0004
ARS;2012-12-19;1.0004
ARS;2012-12-20;1.0004
ARS;2012-12-21;1.0004
ARS;2012-12-22;1.0004
ARS;2012-12-23;1.0004
ARS;2012-12-24;1.0004
ARS;2012-12-25;1.0004
ARS;2012-12-26;1.0004
ARS;2012-12-27;1.0004
ARS;2012-12-28;1.0004
ARS;2012-12-29;1.0004
ARS;2012-12-30;1.0004
ARS;2012-12-31;1.0004
ARS;2013-01-01;1.0004
ARS;2013-01-02;1.0004
ARS;2013-01-03;1.0009
ARS;2013-01-04;1.0009
ARS;2013-01-05;1.0009
ARS;2013-01-06;1.0009
ARS;2013-01-07;1.0009
ARS;2013-01-08;1.0009
ARS;2013-01-09;1.0009
ARS;2013-01-10;1.0009
ARS;2013-01-11;1.0009
ARS;2013-01-12;1.0009
ARS;2013-01-13;1.0009
ARS;2013-01-14;1.0009
ARS;2013-01-15;1.0009
ARS;2013-01-16;1.0009
ARS;2013-01-17;1.0009
ARS;2013-01-18;1.0009
ARS;2013-01-19;1.0009
ARS;2013-01-20;1.0009
ARS;2013-01-21;1.0009
ARS;2013-01-22;1.0009
ARS;2013-01-23;1.0009
ARS;2013-01-24;1.0009
ARS;2013-01-25;1.0009
ARS;2013-01-26;1.0009
ARS;2013-01-27;1.0009
ARS;2013-01-28;1.0009
ARS;2013-01-29;1.0009
ARS;2013-01-30;1.0009
ARS;2013-01-31;1.0009
ARS;2013-02-01;1.0009
ARS;2013-02-02;1.0009
ARS;2013-02-03;1.0009
ARS;2013-02-04;1.0009
ARS;2013-02-05;1.0009
ARS;2013-02-06;1.0009
ARS;2013-02-07;1.0009
ARS;2013-02-08;1.0009
ARS;2013-02-09;1.0061
ARS;2013-02-10;1.0061
ARS;2013-02-11;1.0061
ARS;2013-02-12;1.0061
ARS;2013-02-13;1.0061
ARS;2013-02-14;1.0061
ARS;2013-02-15;1.0061
ARS;2013-02-16;1.0061
ARS;2013-02-17;1.0061
ARS;2013-02-18;1.0061
ARS;2013-02-19;1.0061
ARS;2013-02-20;1.0061
ARS;2013-02-21;0.7143
ARS;2013-02-22;0.7143
ARS;2013-02-23;0.7143
ARS;2013-02-24;0.7143
ARS;2013-02-25;0.7143
ARS;2013-02-26;0.7143
ARS;2013-02-27;0.7143
ARS;2013-02-28;0.7143
ARS;2013-03-01;0.7143
ARS;2013-03-02;0.7143
ARS;2013-03-03;0.7143
ARS;2013-03-04;0.7143
ARS;2013-03-05;0.7143
ARS;2013-03-06;0.7143
ARS;2013-03-07;0.5405
ARS;2013-03-08;0.5263
ARS;2013-03-09;0.5333
ARS;2013-03-10;0.5698
ARS;2013-03-11;0.5698
ARS;2013-03-12;0.5698
ARS;2013-03-13;0.5634
ARS;2013-03-14;0.5634
ARS;2013-03-15;0.5510
ARS;2013-03-16;0.5510
ARS;2013-03-17;0.5510
ARS;2013-03-18;0.5510
ARS;2013-03-19;0.5510
ARS;2013-03-20;0.4939
ARS;2013-03-21;0.4939
ARS;2013-03-22;0.4938
ARS;2013-03-23;0.4938
ARS;2013-03-24;0.4938
ARS;2013-03-25;0.4939
ARS;2013-03-26;0.4939
ARS;2013-03-27;0.4939
ARS;2013-03-28;0.4939
ARS;2013-03-29;0.4939
ARS;2013-03-30;0.4939
ARS;2013-03-31;0.4939
ARS;2013-04-01;0.4939
ARS;2013-04-02;0.4939
ARS;2013-04-03;0.4939
ARS;2013-04-04;0.4939
ARS;2013-04-05;0.4939
ARS;2013-04-06;0.4939
ARS;2013-04-07;0.4556
ARS;2013-04-08;0.4556
ARS;2013-04-09;0.4556
ARS;2013-04-10;0.4556
ARS;2013-04-11;0.4556
ARS;2013-04-12;0.4651
ARS;2013-04-13;0.4651
ARS;2013-04-14;0.4651
ARS;2013-04-15;0.4651
ARS;2013-04-16;0.4651
ARS;2013-04-17;0.4651
ARS;2013-04-18;0.4651
ARS;2013-04-19;0.4651
ARS;2013-04-20;0.4651
ARS;2013-04-21;0.4651
ARS;2013-04-22;0.4651
ARS;2013-04-23;0.4651
ARS;2013-04-24;0.4474
ARS;2013-04-25;0.4474
ARS;2013-04-26;0.4237
ARS;2013-04-27;0.4237
ARS;2013-04-28;0.4237
ARS;2013-04-29;0.4237
ARS;2013-04-30;0.4237
ARS;2013-05-01;0.4082
ARS;2013-05-02;0.4082
ARS;2013-05-03;0.4082
ARS;2013-05-04;0.4082
ARS;2013-05-05;0.4082
ARS;2013-05-06;0.4082
ARS;2013-05-07;0.4082
ARS;2013-05-08;0.4082
ARS;2013-05-09;0.2778
ARS;2013-05-10;0.3484
ARS;2013-05-11;0.3378
ARS;2013-05-12;0.3378
ARS;2013-05-13;0.3378
ARS;2013-05-14;0.3378
ARS;2013-05-15;0.3378
ARS;2013-05-16;0.3378
ARS;2013-05-17;0.3333
ARS;2013-05-18;0.3390
ARS;2013-05-19;0.3636
ARS;2013-05-20;0.3636
